Sensor	ID#	Value	Time Changed
IMUFrontZ	121	0	0
IMURearX	122	0	0
IMURearY	123	0	0
IMURearZ	124	0	0
LIDAR	125	0	0
RadioConn	126	0	0
LSTLeftD	127	0	0
LSTRightD	128	0	0
LSTLeftConn	129	0	0
LSTRightConn	130	0	0
BMSCellT	131	0	0
BMSCellV	132	0	0
BMSConn	133	0	0
MotorRes	134	0	0
SDConn	135	0	0
SDT	136	0	0
SDHVC	137	0	0
LVBattT	138	0	0
LVBattC	139	0	0
LVBattV	140	0	0
RPiOBT	141	0	0
RPiProc	142	0	0
RPiMem	143	0	0
BMELeftT	144	0	0
BMELeftP	145	0	0
BMERightT	146	0	0
BMERightP	147	0	0
PX2BrakeP	148	0	0
BMPAmbP	149	0	0
IMUFrontX	150	0	0
IMUFrontY	151	0	0
IMUFrontZ	152	0	0
IMURearX	153	0	0
IMURearY	154	0	0
IMURearZ	155	0	0
LIDAR	156	0	0
RadioConn	157	0	0
LSTLeftD	158	0	0
LSTRightD	159	0	0
LSTLeftConn	160	0	0
LSTRightConn	161	0	0
BMSCellT	162	0	0
BMSCellV	163	0	0
BMSConn	164	0	0
MotorRes	165	0	0
SDConn	166	0	0
SDT	167	0	0
SDHVC	168	0	0
LVBattT	169	0	0
LVBattC	170	0	0
LVBattV	171	0	0
RPiOBT	172	0	0
RPiProc	173	0	0
RPiMem	174	0	0
BMELeftT	175	0	0
BMELeftP	176	0	0
BMERightT	177	0	0
BMERightP	178	0	0
PX2BrakeP	179	0	0
BMPAmbP	180	0	0
IMUFrontX	181	0	0
IMUFrontY	182	0	0
IMUFrontZ	183	0	0
IMURearX	184	0	0
IMURearY	185	0	0
IMURearZ	186	0	0
LIDAR	187	0	0
RadioConn	188	0	0
LSTLeftD	189	0	0
LSTRightD	190	0	0
LSTLeftConn	191	0	0
LSTRightConn	192	0	0
BMSCellT	193	0	0
BMSCellV	194	0	0
BMSConn	195	0	0
MotorRes	196	0	0
SDConn	197	0	0
SDT	198	0	0
SDHVC	199	0	0
LVBattT	200	0	0
LVBattC	201	0	0
LVBattV	202	0	0
RPiOBT	203	0	0
RPiProc	204	0	0
RPiMem	205	0	0
BMELeftT	206	0	0
BMELeftP	207	0	0
BMERightT	208	0	0
BMERightP	209	0	0
PX2BrakeP	210	0	0
BMPAmbP	211	0	0
IMUFrontX	212	0	0
IMUFrontY	213	0	0
IMUFrontZ	214	0	0
IMURearX	215	0	0
IMURearY	216	0	0
IMURearZ	217	0	0
LIDAR	218	0	0
RadioConn	219	0	0
LSTLeftD	220	0	0
LSTRightD	221	0	0
LSTLeftConn	222	0	0
LSTRightConn	223	1	0
Launch	224	0	0
